feature,importance
Education: Tertiary gross enrol ratio (f/m per 100 pop)_21.9/44.8,0.00035509551368317763
"Population age distribution (0-14 / 60+ years, %)_19.7/4.6",0.0003538619016048527
"Population age distribution (0-14 / 60+ years, %)_14.7/26.8",0.0003522495604522047
Threatened species (number)_2.7,0.000352245617836291
Threatened species (number)_70.5,0.0003521208328879836
Education: Tertiary gross enrol ratio (f/m per 100 pop)_23.5/20.2,0.0003519707195240501
Education: Tertiary gross enrol ratio (f/m per 100 pop)_7.1/11.0,0.0003519330569233122
Education: Tertiary gross enrol ratio (f/m per 100 pop)_79.7/57.7,0.00035125826623337434
"Population age distribution (0-14 / 60+ years, %)_24.9/15.4",0.0003508974442966953
International trade: Exports (million US$)_644932,0.0003506165369635583
Education: Secondary gross enrol ratio (f/m per 100 pop)_30.7/46.8,0.00034999124177528736
International migrant stock (000/% of total pop)_76.4/0.5,0.0003499653095376911
Threatened species (number)_39.6,0.0003490858789222633
Infant mortality rate (per 1000 live births_5.7,0.000348813707494151
Refugees and others of concern to UNHCR (in thousands)_1201.9,0.00034870437959812157
Energy supply per capita (Gigajoules)_100.0/93.0,0.0003481607385441912
International migrant stock (000/% of total pop)_875.2/4.7,0.00034728034417090846
"Population age distribution (0-14 / 60+ years, %)_25.0/12.0",0.00034632053149304316
International trade: Exports (million US$)_142606,0.0003457864828889726
International trade: Exports (million US$)_27341,0.00034576577540883555
Education: Tertiary gross enrol ratio (f/m per 100 pop)_56.7/45.3,0.0003455297128717715
Energy supply per capita (Gigajoules)_58.4/57.1,0.00034498985226183833
Education: Secondary gross enrol ratio (f/m per 100 pop)_38.1/38.8,0.0003443739914609401
Threatened species (number)_50.6,0.00034382119047149466
"Population age distribution (0-14 / 60+ years, %)_14.9/22.7",0.00034348522333497175
International migrant stock (000/% of total pop)_112.4/12.7,0.00034339282235835533
International migrant stock (000/% of total pop)_363.1/2.1,0.0003426064053108642
Energy supply per capita (Gigajoules)_97.5/89.4,0.0003425164827141089
Refugees and others of concern to UNHCR (in thousands)_9.7,0.00034036833530372735
International migrant stock (000/% of total pop)_771.1/12.3,0.00033995992512929373
Education: Secondary gross enrol ratio (f/m per 100 pop)_81.8/79.8,0.00033974374236383733
Refugees and others of concern to UNHCR (in thousands)_4.8,0.0003397129141931252
"Population age distribution (0-14 / 60+ years, %)_23.9/10.9",0.0003392240900687204
Agricultural production index (2004-2006=100)_118,0.00033785196468867005
Education: Secondary gross enrol ratio (f/m per 100 pop)_103.8/103.6,0.0003375229285751338
Refugees and others of concern to UNHCR (in thousands)_2.7,0.00033682664019198637
Education: Primary gross enrol ratio (f/m per 100 pop)_86.1/89.9,0.0003365952349779729
Refugees and others of concern to UNHCR (in thousands)_6.0,0.0003363699982579827
"Pop using improved drinking water (urban/rural, %)_77.9/33.1",0.0003359219254333823
Education: Tertiary gross enrol ratio (f/m per 100 pop)_13.2/19.1,0.000335047999020556
International trade: Exports (million US$)_10572,0.00033500444403644706
"Population age distribution (0-14 / 60+ years, %)_40.4/5.0",0.00033481477418048703
Energy supply per capita (Gigajoules)_72.5/31.5,0.00033472134513567683
Energy supply per capita (Gigajoules)_100.0/99.0,0.00033455178703610143
Infant mortality rate (per 1000 live births_2.4,0.0003337118782291003
Agricultural production index (2004-2006=100)_104,0.0003335608238873538
Education: Primary gross enrol ratio (f/m per 100 pop)_104.0/107.0,0.000333272283190426
International trade: Exports (million US$)_57733,0.00033309556275708615
Education: Tertiary gross enrol ratio (f/m per 100 pop)_23.3/15.7,0.0003329063317863698
International migrant stock (000/% of total pop)_189.3/1.0,0.00033289316372652573
Education: Secondary gross enrol ratio (f/m per 100 pop)_50.5/50.5,0.0003328789635408223
International migrant stock (000/% of total pop)_56.7/0.5,0.00033164795680025374
Agricultural production index (2004-2006=100)_99,0.0003315214228425004
Energy supply per capita (Gigajoules)_99.7/93.3,0.00033128418456087667
International migrant stock (000/% of total pop)_143.0/1.3,0.0003310576152875305
